eval_eplenmean,eval_qs_difference,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval mean 100 episode reward,eval_abs_qs_difference,total timesteps,act_time,ep_rewmean,n_updates,qs_difference,train_time,eplenmean,fps,mean 100 episode reward,qs_abs_difference,current_lr,env_time,episodes,discount_q,qs_mean,time_elapsed,update_time,qfs_loss,q_grad_norm
,,,,,,,,248000,192,132.01776273,446200,2.9677255126840114,4923,1000.0,15,132.0,2.9677255126840114,0.0003,357,248,2.6081556455296906e-12,14.959375,16009,9834,0.0028639794,0.43333107
1000.0,2.6697553711876507,148.6043559090909,23,14.23061,33.32910067600728,128.4,2.7012482,250001,,,,,,,,,,,,,,,,,,
,,,,,,,,252000,196,131.77930251,454200,2.8897360151776574,5013,1000.0,15,131.8,2.8897360151776574,0.0003,363,252,2.6200001334922177e-12,14.390662,16335,10034,0.0026625004,0.45503512
,,,,,,,,256000,199,131.60916294999998,462200,3.614805168930331,5100,1000.0,15,131.6,3.614805168930331,0.0003,368,256,2.6973288213322278e-12,14.330631,16632,10233,0.0026784316,0.39571488
,,,,,,,,260000,202,131.48000001999998,470200,3.0845741578294046,5190,1000.0,15,131.5,3.0845741578294046,0.0003,374,260,2.5722317170619318e-12,14.252242,16936,10436,0.0026238444,0.42449456
1000.0,3.044148113441304,146.25215954545456,23,14.358779,33.440257267776744,135.4,3.0612938,260001,,,,,,,,,,,,,,,,,,
,,,,,,,,264000,206,131.36043136,478200,2.911100308835787,5280,1000.0,15,131.4,2.911100308835787,0.0003,380,264,2.6305415623562825e-12,14.321777,17263,10638,0.0024065732,0.37772503
,,,,,,,,268000,209,131.29914906,486200,3.5726362744685902,5366,1000.0,15,131.3,3.5726362744685902,0.0003,386,268,2.627925551349157e-12,14.391209,17557,10834,0.0031826599,0.44222683
1000.0,2.9809542338985087,145.9168750909091,23,14.31117,32.944163708059314,146.5,3.0109072,270001,,,,,,,,,,,,,,,,,,
,,,,,,,,272000,213,133.39254029000003,494200,3.1518539979251137,5456,1000.0,15,133.4,3.1518539979251137,0.0003,391,272,2.6374116603917932e-12,14.384976,17879,11032,0.0023203148,0.38916832
,,,,,,,,276000,216,134.33328442,502200,3.0762575582699663,5542,1000.0,15,134.3,3.0762575582699663,0.0003,397,276,2.5706752355885263e-12,14.333636,18173,11229,0.0019207798,0.34400207
,,,,,,,,280000,219,138.84265695,510200,3.439435525888586,5630,1000.0,15,138.8,3.439435525888586,0.0003,403,280,2.645446580072523e-12,14.320543,18467,11423,0.0023064057,0.45623288
1000.0,2.6153560871265125,149.3218040909091,23,14.239182,33.41771032906845,148.5,2.6352625,280001,,,,,,,,,,,,,,,,,,
,,,,,,,,284000,222,141.4813226,518200,2.8753072257253405,5718,1000.0,15,141.5,2.8753072257253405,0.0003,408,284,2.6388368793077433e-12,14.342271,18787,11621,0.0019324519,0.39097917
,,,,,,,,288000,226,143.41901968,526200,3.0041663424012506,5805,1000.0,15,143.4,3.0041663424012506,0.0003,414,288,2.6534356040057396e-12,14.271781,19074,11811,0.0022110792,0.41130158
1000.0,2.9289750697348906,146.06454818181817,23,14.402957,31.641141503062865,147.9,2.9442847,290001,,,,,,,,,,,,,,,,,,
,,,,,,,,292000,229,144.34999306,534200,3.6664623253258926,5895,1000.0,15,144.3,3.6664623253258926,0.0003,420,292,2.4701757504059646e-12,14.7355995,19400,12012,0.0019890997,0.39540467
,,,,,,,,296000,232,143.92239815,542200,2.9254833008507988,5982,1000.0,15,143.9,2.9254833008507988,0.0003,426,296,2.682435523777455e-12,14.30675,19695,12208,0.0021159316,0.44697753
,,,,,,,,300000,236,143.85070785,550200,3.0848967468842674,6070,1000.0,15,143.9,3.0848967468842674,0.0003,431,300,2.480448546710068e-12,14.438605,19987,12402,0.002591789,0.4606529
1000.0,3.178010515135196,143.88436318181817,23,14.256362,33.435212913798765,146.8,3.194517,300001,,,,,,,,,,,,,,,,,,
,,,,,,,,304000,239,143.853822,558200,2.9372342502287867,6155,1000.0,14,143.9,2.9372342502287867,0.0003,437,304,2.6719814056526527e-12,14.346477,20297,12592,0.0016040184,0.35235742
,,,,,,,,308000,242,143.90089868,566200,3.056571590186447,6243,1000.0,14,143.9,3.056571590186447,0.0003,443,308,2.5497320728624876e-12,14.485667,20599,12795,0.0022641756,0.47871482
1000.0,2.764161631359045,149.0490280909091,24,14.357083,33.454363590923435,147.0,2.7804434,310001,,,,,,,,,,,,,,,,,,
,,,,,,,,312000,246,143.83223549,574200,3.6358854679939077,6332,1000.0,14,143.8,3.6358854679939077,0.0003,448,312,2.5981673982824432e-12,14.60826,20922,12994,0.0018442086,0.40241218
,,,,,,,,316000,249,143.80269463000002,582200,2.881762245371856,6419,1000.0,14,143.8,2.881762245371856,0.0003,454,316,2.7345885869462458e-12,14.312008,21215,13189,0.0017565987,0.35830653
,,,,,,,,320000,252,143.77594393,590200,3.6920380857556165,6507,1000.0,14,143.8,3.6920380857556165,0.0003,460,320,2.60584395512232e-12,14.444987,21507,13382,0.0016479804,0.3675476
1000.0,2.6858868111432135,151.91318554545455,24,14.605566,33.04685752682323,147.5,2.7040777,320001,,,,,,,,,,,,,,,,,,
,,,,,,,,324000,256,143.97857391000002,598200,2.9106533902655154,6593,1000.0,14,144.0,2.9106533902655154,0.0003,466,324,2.7396235403418856e-12,14.085531,21828,13580,0.0017798847,0.3792807
,,,,,,,,328000,259,143.99610643,606200,2.8907562042176655,6682,1000.0,14,144.0,2.8907562042176655,0.0003,472,328,2.603534499528907e-12,14.370106,22130,13782,0.0013590051,0.31114
1000.0,2.9869989944333537,147.83514136363635,24,14.507553,32.95918452020526,147.6,3.0004478,330001,,,,,,,,,,,,,,,,,,
,,,,,,,,332000,263,144.09822224,614200,2.881875461174863,6769,1000.0,14,144.1,2.881875461174863,0.0003,477,332,2.6366435537519527e-12,14.490696,22450,13979,0.0016464633,0.35547614
,,,,,,,,336000,266,144.20249024,622200,3.527299476660973,6859,1000.0,14,144.2,3.527299476660973,0.0003,483,336,2.643048186941544e-12,14.422792,22756,14184,0.0015813923,0.2956066
,,,,,,,,340000,269,144.19670854,630200,2.9173560264763463,6948,1000.0,14,144.2,2.9173560264763463,0.0003,489,340,2.7989765641556346e-12,14.0596,23056,14385,0.0016383271,0.36059675
1000.0,4.681286747361603,134.59031945454547,24,14.950344,32.221964841808884,146.2,4.690724,340001,,,,,,,,,,,,,,,,,,
