eval_discount_q,eval_qs,eval_eplenmean,eval_time_elapsed,eval_ep_rewmean,eval_qs_difference,total timesteps,eval mean 100 episode reward,eval_abs_qs_difference,n_updates,train_time,discount_q,current_lr,qs_mean,qs_difference,time_elapsed,mean 100 episode reward,fps,episodes,eplenmean,env_time,update_time,act_time,ep_rewmean,qs_abs_difference,q_grad_norm,qfs_loss
,,,,,,176000,,,302200,3360,2.637613502555862e-12,0.0003,14.485734,2.101056311060063,10287,137.0,17,176,1000.0,251,6032,131,136.9782206,2.101056311060063,0.8558319,0.0041108043
,,,,,,180000,,,310200,3447,2.7039554104179245e-12,0.0003,14.27576,2.9650314117926637,10573,140.5,17,180,1000.0,256,6220,134,140.45067246,2.9650314117926637,0.83080107,0.004116634
32.24119009421079,14.596207,1000.0,24,156.58750236363636,2.1293350981638106,180001,144.9,2.23887,,,,,,,,,,,,,,,,,,
,,,,,,184000,,,318200,3533,2.6177014551949536e-12,0.0003,14.52677,2.150572911542975,10878,143.6,16,184,1000.0,262,6405,138,143.56670105,2.1506711648842027,0.8143079,0.0042674704
,,,,,,188000,,,326200,3624,2.6124242568492836e-12,0.0003,14.456972,2.0851871723403064,11173,145.4,16,188,1000.0,268,6598,141,145.42187946,2.0851871723403064,0.7294386,0.004471841
32.960520513382,14.913756,1000.0,24,162.881287,1.8887175467508852,190001,151.0,2.0362349,,,,,,,,,,,,,,,,,,
,,,,,,192000,,,334200,3713,2.650448064540052e-12,0.0003,14.337766,2.0896941260648285,11491,147.0,16,192,1000.0,273,6791,144,147.02083979,2.0896941260648285,0.6397896,0.003320859
,,,,,,196000,,,342200,3802,2.4620044900635716e-12,0.0003,14.712606,2.0821496363446736,11784,147.7,16,196,1000.0,279,6984,148,147.73217693,2.082164422259041,0.5790427,0.0028441008
,,,,,,200000,,,350200,3892,2.751442803777774e-12,0.0003,14.151392,2.0930312929205437,12077,148.3,16,200,1000.0,285,7176,151,148.32967482,2.0930312929205437,0.6824329,0.0033516418
32.694710942330985,13.708051,1000.0,23,150.62620218181817,1.8822061093348743,200001,152.6,1.9953519,,,,,,,,,,,,,,,,,,
,,,,,,204000,,,358200,3981,2.7215314617220363e-12,0.0003,14.183717,2.225349313793023,12394,148.9,16,204,1000.0,291,7369,155,148.89292351,2.225349313793023,0.63401747,0.0027807436
,,,,,,208000,,,366200,4071,2.691050743864756e-12,0.0003,14.149899,2.289206834769414,12692,149.1,16,208,1000.0,296,7566,158,149.05593610000003,2.289206834769414,0.5796349,0.002851683
33.45747348646382,14.227749,1000.0,23,155.33514181818182,2.0065258813649685,210001,153.0,2.1116717,,,,,,,,,,,,,,,,,,
,,,,,,212000,,,374200,4162,2.6589097617290078e-12,0.0003,14.352317,2.142771070592226,13013,149.2,16,212,1000.0,302,7762,161,149.17014469,2.142771070592226,0.5364677,0.0037552651
,,,,,,216000,,,382200,4250,2.6829962971749327e-12,0.0003,14.020955,2.2180524614757533,13309,149.2,16,216,1000.0,308,7959,165,149.24564855,2.2180524614757533,0.5000917,0.0026646135
,,,,,,220000,,,390200,4342,2.6324504751368027e-12,0.0003,14.110392,2.1752513039250534,13608,149.5,16,220,1000.0,313,8156,168,149.48043495,2.1752513039250534,0.66146016,0.0030559131
32.897237940537025,13.730191,1000.0,24,149.236739,2.0633439861374345,220001,154.0,2.1606393,,,,,,,,,,,,,,,,,,
,,,,,,224000,,,398200,4427,2.6950879313910555e-12,0.0003,14.073832,2.305732143385534,13919,149.5,16,224,1000.0,319,8345,172,149.54692057000003,2.305732143385534,0.4907053,0.0023486512
,,,,,,228000,,,406200,4517,2.649899653820984e-12,0.0003,14.217892,2.2551032201622605,14210,149.7,16,228,1000.0,325,8535,175,149.66952298,2.2551032201622605,0.5220361,0.0024351182
33.543906145286236,14.274966,1000.0,23,156.7898611818182,1.9168264127383354,230001,154.4,2.04087,,,,,,,,,,,,,,,,,,
,,,,,,232000,,,414200,4608,2.7187885606329515e-12,0.0003,14.351038,2.2952437190479458,14530,149.7,15,232,1000.0,331,8729,178,149.65337139999997,2.2952437190479458,0.49953282,0.0023031926
,,,,,,236000,,,422200,4694,2.656942181707799e-12,0.0003,14.109277,2.3066483510756446,14818,149.7,15,236,1000.0,336,8920,182,149.68259133,2.3066483510756446,0.46613252,0.0020029414
,,,,,,240000,,,430200,4785,2.731805313953101e-12,0.0003,13.979873,2.551330786062585,15111,149.7,15,240,1000.0,342,9111,185,149.73527135000003,2.551330786062585,0.44800988,0.002095915
33.69353260635532,14.294006,1000.0,23,156.38114954545458,1.9915521636796323,240001,154.4,2.1053662,,,,,,,,,,,,,,,,,,
,,,,,,244000,,,438200,4870,2.5662326084669714e-12,0.0003,14.607099,2.2908726745521135,15418,149.7,15,244,1000.0,348,9298,189,149.73059204,2.2908726745521135,0.55338967,0.0026058864
,,,,,,248000,,,446200,4961,2.696648028414587e-12,0.0003,14.119445,2.265885591149021,15716,150.0,15,248,1000.0,354,9494,192,149.95847232,2.265885591149021,0.4749744,0.0023061926
33.46100888936736,13.688904,1000.0,23,150.73214336363637,1.928328320796809,250001,154.9,2.0293376,,,,,,,,,,,,,,,,,,
,,,,,,252000,,,454200,5052,2.7251656060146783e-12,0.0003,14.180351,2.311288858539816,16033,151.0,15,252,1000.0,360,9685,196,151.02106799,2.311288858539816,0.470073,0.002151696
,,,,,,256000,,,462200,5137,2.6204294739109546e-12,0.0003,14.051049,2.427956039329544,16318,151.9,15,256,1000.0,365,9873,199,151.94460594999998,2.427956039329544,0.38436756,0.0017957542
,,,,,,260000,,,470200,5226,2.7701883229803628e-12,0.0003,13.897588,2.120566267692647,16602,152.0,15,260,1000.0,371,10057,202,151.97596491000002,2.120566267692647,0.44305652,0.0022877648
33.296356685054896,14.08414,1000.0,24,149.59204899999997,2.421273712723389,260001,154.4,2.523592,,,,,,,,,,,,,,,,,,
,,,,,,264000,,,478200,5315,2.7205745508779187e-12,0.0003,13.574582,2.2454022047340785,16921,151.7,15,264,1000.0,377,10251,206,151.66027229000002,2.2454022047340785,0.470145,0.0023608303
,,,,,,268000,,,486200,5406,2.5352758408885996e-12,0.0003,13.767032,2.8296507186592725,17222,151.5,15,268,1000.0,383,10449,209,151.49611145000003,2.8296507186592725,0.44172505,0.0020168708
33.128957591675366,14.048151,1000.0,23,151.95717281818182,2.1321993294169213,270001,153.8,2.230953,,,,,,,,,,,,,,,,,,
,,,,,,272000,,,494200,5499,2.523470004532288e-12,0.0003,14.291713,2.1525651997723214,17545,151.3,15,272,1000.0,388,10645,213,151.34367331000004,2.1525651997723214,0.36757815,0.0018428824
,,,,,,276000,,,502200,5588,2.6027345423428266e-12,0.0003,14.451552,2.2809038662478662,17841,151.1,15,276,1000.0,394,10841,216,151.12806396000005,2.2809038662478662,0.43478915,0.001850281
,,,,,,280000,,,510200,5679,2.700401410987492e-12,0.0003,13.720727,2.4851728711334724,18137,151.2,15,280,1000.0,400,11036,220,151.18888929000002,2.4851728711334724,0.4571938,0.0019424807
33.04783071644026,14.417889,1000.0,23,153.71138627272728,2.318484542831369,280001,152.9,2.4352338,,,,,,,,,,,,,,,,,,
,,,,,,284000,,,518200,5768,2.605295470980695e-12,0.0003,14.280916,2.823873682141696,18454,151.1,15,284,1000.0,406,11227,223,151.13880429,2.823873682141696,0.3643047,0.001795783
,,,,,,288000,,,526200,5859,2.6067374478754213e-12,0.0003,14.420034,2.2849421762939848,18752,151.0,15,288,1000.0,412,11424,227,150.99572871,2.2849421762939848,0.37315747,0.0014557951
33.00664705553857,14.481973,1000.0,23,158.3898530909091,1.9106449997689594,290001,153.5,2.0224402,,,,,,,,,,,,,,,,,,
,,,,,,292000,,,534200,5951,2.5983103615272734e-12,0.0003,13.729054,2.1815541463454293,19076,150.7,15,292,1000.0,418,11620,230,150.73474187,2.1815541463454293,0.44670337,0.0021959036
,,,,,,296000,,,542200,6040,2.765882997755947e-12,0.0003,13.923863,2.362524840315793,19369,150.7,15,296,1000.0,423,11812,234,150.72752202,2.362524840315793,0.34877977,0.0016048572
,,,,,,300000,,,550200,6132,2.8136961974396153e-12,0.0003,14.049786,2.151971996716091,19671,150.6,15,300,1000.0,429,12011,237,150.58235921,2.151971996716091,0.37192506,0.0017383464
32.819337416788905,14.254029,1000.0,23,155.41218627272727,1.9619237541167671,300001,153.6,2.0581784,,,,,,,,,,,,,,,,,,
,,,,,,304000,,,558200,6223,2.5873857382997054e-12,0.0003,13.979738,2.7109067599710213,19985,150.4,15,304,1000.0,435,12200,241,150.39001130999998,2.7109067599710213,0.33409324,0.0018258287
,,,,,,308000,,,566200,6309,2.4629733723125955e-12,0.0003,14.249469,2.5647114078151634,20271,150.2,15,308,1000.0,440,12388,244,150.2239495,2.5647114078151634,0.38532433,0.0017876189
33.42323436550188,13.829407,1000.0,23,153.19921645454545,1.8183857291149925,310001,153.9,1.9055082,,,,,,,,,,,,,,,,,,
,,,,,,312000,,,574200,6399,2.601057200928291e-12,0.0003,13.872251,2.1111151089840368,20589,150.1,15,312,1000.0,446,12581,248,150.09727575000002,2.1111151089840368,0.33571935,0.0014496866
,,,,,,316000,,,582200,6490,2.7188484748011012e-12,0.0003,13.837028,2.1063784053304397,20889,150.0,15,316,1000.0,452,12780,251,150.04803657,2.1063784053304397,0.4371341,0.0018929008
,,,,,,320000,,,590200,6582,2.601140030234769e-12,0.0003,13.805963,2.16589631531641,21179,150.0,15,320,1000.0,457,12967,254,150.04338521999998,2.16589631531641,0.4181944,0.001693179
33.19244079655032,13.859689,1000.0,23,147.0755997272727,2.4381795708617675,320001,153.0,2.5162637,,,,,,,,,,,,,,,,,,
,,,,,,324000,,,598200,6673,2.5711338860223763e-12,0.0003,13.981288,2.5336297849768235,21501,149.9,15,324,1000.0,463,13162,258,149.86228891,2.5336297849768235,0.33823517,0.0014277487
,,,,,,328000,,,606200,6764,2.5502613960239876e-12,0.0003,13.991643,2.197601693033958,21801,149.9,15,328,1000.0,469,13359,261,149.87532084999998,2.197601693033958,0.32792324,0.0015712123
33.506771140973015,14.579726,1000.0,23,158.40388627272728,2.0565080233474564,330001,153.2,2.1407926,,,,,,,,,,,,,,,,,,
,,,,,,332000,,,614200,6857,2.7457383906622948e-12,0.0003,13.805095,2.177570674320221,22123,149.6,15,332,1000.0,475,13554,265,149.64182868999998,2.177570674320221,0.4006046,0.0016893079
,,,,,,336000,,,622200,6947,2.6888189435421485e-12,0.0003,13.890286,2.1507970546496673,22421,149.6,14,336,1000.0,481,13751,268,149.58018950999997,2.1507970546496673,0.3610297,0.0014096808
,,,,,,340000,,,630200,7038,2.6346189256833333e-12,0.0003,14.014774,2.17434067737586,22721,149.5,14,340,1000.0,486,13948,272,149.45928360000002,2.17434067737586,0.34577933,0.0014010437
33.405072124698,13.816219,1000.0,23,145.1187847272727,2.6114425758059543,340001,152.6,2.6925216,,,,,,,,,,,,,,,,,,
,,,,,,344000,,,638200,7128,2.693763349670971e-12,0.0003,13.667711,2.3457550270522844,23039,149.3,14,344,1000.0,492,14141,275,149.34195166,2.3457550270522844,0.32235372,0.0014340153
,,,,,,348000,,,646200,7219,2.6512151269315226e-12,0.0003,13.996228,2.1567635714271054,23340,149.0,14,348,1000.0,498,14340,279,149.04693515,2.1567635714271054,0.36043727,0.001928474
33.65919426408827,13.753371,1000.0,23,150.60528972727272,2.025103449374847,350001,152.7,2.0899737,,,,,,,,,,,,,,,,,,
,,,,,,352000,,,654200,7311,2.619844406382104e-12,0.0003,13.93915,2.1826033974124646,23663,148.9,14,352,1000.0,503,14536,282,148.86171868999998,2.1826033974124646,0.33787116,0.0013145092
,,,,,,356000,,,662200,7401,2.6552929654672445e-12,0.0003,14.030116,2.2479034877362447,23959,148.8,14,356,1000.0,509,14731,285,148.81162928,2.2479034877362447,0.33507663,0.0015638929
,,,,,,360000,,,670200,7493,2.6485164430895442e-12,0.0003,13.777584,2.5983760432614,24263,148.8,14,360,1000.0,515,14931,289,148.77109396999995,2.5983760432614,0.34663022,0.0014906503
33.31097606284962,14.125276,1000.0,23,151.01767381818183,2.3212951214707602,360001,152.6,2.4137535,,,,,,,,,,,,,,,,,,
,,,,,,364000,,,678200,7583,2.71061853414957e-12,0.0003,13.591549,2.2061641338642595,24584,148.8,14,364,1000.0,521,15127,292,148.78576203,2.2061641338642595,0.35444722,0.0015709884
,,,,,,368000,,,686200,7674,2.545542642343632e-12,0.0003,13.827406,2.2364499048143838,24883,148.9,14,368,1000.0,527,15324,296,148.85803790000003,2.2364499048143838,0.29063642,0.0010888289
33.782651097864644,13.930657,1000.0,23,149.026169,2.372521818434033,370001,152.2,2.4535925,,,,,,,,,,,,,,,,,,
,,,,,,372000,,,694200,7766,2.551519329254434e-12,0.0003,14.128349,2.2117314906466947,25205,148.8,14,372,1000.0,532,15520,299,148.75702511,2.2117314906466947,0.2732904,0.0011760411
,,,,,,376000,,,702200,7853,2.7053996262049606e-12,0.0003,13.70741,2.418770916217468,25497,148.6,14,376,1000.0,538,15713,303,148.62946995000001,2.418770916217468,0.3278591,0.0013643753
,,,,,,380000,,,710200,7945,2.7127199257164815e-12,0.0003,13.8034725,2.9582404960328414,25800,148.5,14,380,1000.0,544,15912,306,148.51414844999996,2.9582404960328414,0.2997563,0.0014801424
32.95208201107102,13.836102,1000.0,24,151.4490521818182,1.9534514845997442,380001,151.4,2.0371275,,,,,,,,,,,,,,,,,,
,,,,,,384000,,,718200,8030,2.625136748972931e-12,0.0003,13.881396,2.6220961967282057,26110,148.3,14,384,1000.0,549,16103,310,148.32600670999997,2.6220961967282057,0.28461617,0.0012387695
,,,,,,388000,,,726200,8118,2.7028343202979687e-12,0.0003,14.056541,2.377916849588462,26400,148.3,14,388,1000.0,555,16293,313,148.25914269999998,2.377916849588462,0.26125634,0.0009979899
33.04816937652661,13.690231,1000.0,23,144.8468261818182,2.477316782822441,390001,150.3,2.5385485,,,,,,,,,,,,,,,,,,
,,,,,,392000,,,734200,8208,2.646168239373876e-12,0.0003,14.013602,2.9546292058018824,26720,148.2,14,392,1000.0,561,16488,316,148.16940250000002,2.9546292058018824,0.2959711,0.0009990728
,,,,,,396000,,,742200,8298,2.5791299627204526e-12,0.0003,14.138359,2.317058690229134,27021,148.1,14,396,1000.0,566,16688,320,148.08245768000003,2.317058690229134,0.27035862,0.0011932533
,,,,,,400000,,,750200,8392,2.6229660487310272e-12,0.0003,13.950048,2.419295836697636,27317,148.0,14,400,1000.0,572,16879,323,148.03887091,2.419295836697636,0.27829668,0.0010341053
33.368913623419026,13.96498,1000.0,23,152.72722218181818,1.9957786242666744,400001,150.1,2.0709345,,,,,,,,,,,,,,,,,,
