total timesteps,eval_time_elapsed,eval_qs_difference,eval mean 100 episode reward,eval_abs_qs_difference,eval_qs,eval_ep_rewmean,eval_eplenmean,eval_discount_q,fps,qs_difference,update_time,act_time,train_time,time_elapsed,n_updates,env_time,ep_rewmean,eplenmean,episodes,current_lr,mean 100 episode reward,qs_abs_difference,discount_q,qs_mean,q_grad_norm,qfs_loss
160000,,,,,,,,,17,2.4642909453531314,5293,117,2967,9053,270200,227,97.73376107999998,1000.0,160,0.0003,97.7,2.4642909453531314,2.6444175724691456e-12,12.622781,0.6790864,0.004250291
160001,23,1.9692489234154673,103.5,2.0137813,12.670182,139.274134,1000.0,32.590701988403055,,,,,,,,,,,,,,,,,,
164000,,,,,,,,,17,2.4175747747232488,5485,120,3055,9367,278200,232,101.27093027,1000.0,164,0.0003,101.3,2.4175747747232488,2.6942170625230453e-12,12.721519,0.75654143,0.0048874696
168000,,,,,,,,,17,2.4480949613493936,5686,123,3146,9669,286200,238,104.74258875000001,1000.0,168,0.0003,104.7,2.4480949613493936,2.5283239446867606e-12,12.718359,0.7807183,0.0041260575
170001,23,2.186960918726011,113.5,2.2304132,12.81625,138.19826127272725,1000.0,32.22765276702196,,,,,,,,,,,,,,,,,,
172000,,,,,,,,,17,2.7238280893475144,5880,127,3235,9987,294200,243,108.12613884000002,1000.0,172,0.0003,108.1,2.7238280893475144,2.549313542092339e-12,12.752275,0.7489074,0.0043065776
176000,,,,,,,,,17,2.947674899027485,6073,130,3324,10279,302200,249,111.50066499999998,1000.0,176,0.0003,111.5,2.947674899027485,2.5811216248092193e-12,12.84241,0.7827917,0.004575742
180000,,,,,,,,,17,2.46090633271947,6261,133,3409,10564,310200,254,114.84879782999998,1000.0,180,0.0003,114.8,2.46090633271947,2.5245832365058105e-12,12.758178,0.64537,0.0037169098
180001,21,2.2280722997352083,124.1,2.269402,12.819867,138.48854690909093,1000.0,32.89958669666953,,,,,,,,,,,,,,,,,,
184000,,,,,,,,,16,2.549352042195039,6456,137,3500,10883,318200,260,118.12400458999998,1000.0,184,0.0003,118.1,2.549352042195039,2.4854446828948345e-12,12.848329,0.80482775,0.0044836835
188000,,,,,,,,,16,2.5240576246407214,6651,140,3588,11176,326200,266,121.54103716,1000.0,188,0.0003,121.5,2.5240576246407214,2.696007759873163e-12,12.994407,0.70751894,0.0035485486
190001,23,2.072649003140267,132.0,2.113108,12.900115,140.6114569090909,1000.0,32.66343555621359,,,,,,,,,,,,,,,,,,
192000,,,,,,,,,16,2.3889131591768296,6846,143,3677,11495,334200,271,125.02834770999998,1000.0,192,0.0003,125.0,2.3889131591768296,2.541290586173153e-12,13.020187,0.7576079,0.0037314848
196000,,,,,,,,,16,2.5485749131710467,7043,147,3768,11793,342200,277,127.32540449000003,1000.0,196,0.0003,127.3,2.5485749131710467,2.622702822166771e-12,12.959336,0.6162937,0.0027018553
200000,,,,,,,,,16,2.952564475508664,7239,150,3857,12088,350200,282,129.05034835,1000.0,200,0.0003,129.1,2.952564475508664,2.665167264178042e-12,12.878508,0.7283096,0.0029567338
200001,23,2.292840571461535,135.9,2.3260832,12.937616,139.03735363636363,1000.0,32.91878271163936,,,,,,,,,,,,,,,,,,
204000,,,,,,,,,16,2.530827030692082,7432,153,3947,12406,358200,288,130.17923595,1000.0,204,0.0003,130.2,2.530827030692082,2.5413403694619975e-12,13.0494175,0.624308,0.0027729366
208000,,,,,,,,,16,2.75564970491826,7623,157,4031,12693,366200,293,131.28408331,1000.0,208,0.0003,131.3,2.75564970491826,2.682626705058745e-12,13.060453,0.6119122,0.002968604
210001,21,2.2286670577779746,137.1,2.257433,12.955734,139.63226872727273,1000.0,32.688477308358046,,,,,,,,,,,,,,,,,,
212000,,,,,,,,,16,2.4676855436130145,7812,160,4119,13003,374200,299,132.02514936,1000.0,212,0.0003,132.0,2.4676855436130145,2.597455372262854e-12,13.015243,0.62128663,0.0027200663
216000,,,,,,,,,16,2.490907919866249,8013,163,4209,13304,382200,305,132.47674293,1000.0,216,0.0003,132.5,2.490907919866249,2.4923216455062627e-12,12.985358,0.52839166,0.0020618122
220000,,,,,,,,,16,2.486164662595572,8207,167,4297,13597,390200,310,132.71573199,1000.0,220,0.0003,132.7,2.486164662595572,2.73225441704993e-12,12.908604,0.40609524,0.0019361026
220001,23,2.2331586859301877,138.8,2.2641768,13.340394,143.518202,1000.0,32.77357131859489,,,,,,,,,,,,,,,,,,
224000,,,,,,,,,16,2.989091889273616,8405,170,4388,13919,398200,316,132.94480554,1000.0,224,0.0003,132.9,2.989091889273616,2.5850243616609068e-12,13.024342,0.48605418,0.0022575196
228000,,,,,,,,,16,2.7212682960237093,8604,173,4477,14218,406200,321,133.36110069,1000.0,228,0.0003,133.4,2.7212682960237093,2.5541823357211647e-12,12.858764,0.5293993,0.0024733767
230001,23,2.4290231409753384,139.2,2.457369,12.860461,136.78537009090908,1000.0,32.798982492433,,,,,,,,,,,,,,,,,,
232000,,,,,,,,,15,2.830221467658833,8801,176,4567,14539,414200,327,133.90196109000001,1000.0,232,0.0003,133.9,2.830221467658833,2.729908555338402e-12,13.008726,0.64560854,0.0026668382
236000,,,,,,,,,15,2.461207856549313,8996,180,4655,14833,422200,332,134.19547341999998,1000.0,236,0.0003,134.2,2.461207856549313,2.5167311152737217e-12,13.088207,0.46786475,0.0018101245
240000,,,,,,,,,15,2.4947207725306058,9193,183,4745,15130,430200,338,134.48588858000002,1000.0,240,0.0003,134.5,2.4947207725306058,2.6098502181466006e-12,12.993078,0.4670251,0.0022298433
240001,24,2.39073854986087,139.2,2.4189446,12.9631,137.71575009090904,1000.0,32.315285062177544,,,,,,,,,,,,,,,,,,
244000,,,,,,,,,15,2.646515091375206,9382,186,4833,15441,438200,343,134.74373719,1000.0,244,0.0003,134.7,2.646515091375206,2.620646939499227e-12,12.982146,0.43512976,0.0016402219
248000,,,,,,,,,15,2.4901956148665905,9583,189,4923,15743,446200,349,134.84910826,1000.0,248,0.0003,134.8,2.4901956148665905,2.465161048216575e-12,12.961685,0.4409986,0.001750918
250001,23,2.3521269290641014,139.3,2.377239,13.013795,139.555695,1000.0,33.27172214733011,,,,,,,,,,,,,,,,,,
252000,,,,,,,,,15,2.768686068817629,9773,193,5011,16055,454200,354,134.99088769,1000.0,252,0.0003,135.0,2.768686068817629,2.529109842241855e-12,12.866226,0.48539254,0.001869376
256000,,,,,,,,,15,2.7981843580982275,9969,196,5099,16350,462200,360,135.04788947999998,1000.0,256,0.0003,135.0,2.7981843580982275,2.5590990813198725e-12,12.984936,0.4149944,0.0015086287
260000,,,,,,,,,15,2.5212650220553354,10163,199,5190,16647,470200,365,135.15521780999998,1000.0,260,0.0003,135.2,2.5212650220553354,2.6153807823680973e-12,13.053704,0.38066825,0.0016030873
260001,21,2.3694422916068274,139.2,2.3883553,12.877494,137.12553872727275,1000.0,32.36870479294594,,,,,,,,,,,,,,,,,,
264000,,,,,,,,,15,2.4820472169572843,10351,203,5278,16955,478200,371,135.20084766,1000.0,264,0.0003,135.2,2.4820472169572843,2.662132076231002e-12,13.114945,0.51871014,0.0021182136
268000,,,,,,,,,15,2.6050490175821044,10547,206,5365,17249,486200,377,135.27711759,1000.0,268,0.0003,135.3,2.6050490175821044,2.6422330913005244e-12,12.9597225,0.2838784,0.0012899515
270001,22,2.6071788549462465,139.0,2.628612,13.077953,137.3885868181818,1000.0,33.01096033347088,,,,,,,,,,,,,,,,,,
272000,,,,,,,,,15,2.525776170930012,10738,210,5454,17563,494200,383,135.42495561999996,1000.0,272,0.0003,135.4,2.525776170930012,2.769750663742641e-12,13.077938,0.4186708,0.0014315636
276000,,,,,,,,,15,2.7499752619416546,10931,213,5541,17854,502200,388,135.58498325,1000.0,276,0.0003,135.6,2.7499752619416546,2.7301238234714198e-12,13.0249,0.4887566,0.0016138824
280000,,,,,,,,,15,2.609674359841386,11119,216,5631,18143,510200,394,135.71170468,1000.0,280,0.0003,135.7,2.609674359841386,2.6477255438198626e-12,13.07625,0.5207119,0.0018558155
280001,23,2.4437223242816093,138.7,2.4593306,12.890324,137.03304645454548,1000.0,32.89598085329094,,,,,,,,,,,,,,,,,,
284000,,,,,,,,,15,2.4918298835482897,11318,219,5721,18466,518200,399,135.74964081,1000.0,284,0.0003,135.7,2.4918298835482897,2.6963029487333173e-12,13.107863,0.34201786,0.0012553469
288000,,,,,,,,,15,2.468691435945527,11518,223,5811,18766,526200,405,135.84374518,1000.0,288,0.0003,135.8,2.468691435945527,2.4828656934087634e-12,13.45347,0.51718783,0.0017521445
290001,24,2.5890633524698425,138.6,2.6148145,13.180836,138.5566490909091,1000.0,32.9686168553017,,,,,,,,,,,,,,,,,,
292000,,,,,,,,,15,2.786112581725835,11712,226,5898,19083,534200,411,135.79533142000002,1000.0,292,0.0003,135.8,2.786112581725835,2.5110484717128887e-12,13.027239,0.37091923,0.001457825
296000,,,,,,,,,15,2.4705858438242023,11903,229,5987,19373,542200,416,135.84115088000001,1000.0,296,0.0003,135.8,2.4705858438242023,2.649930110265709e-12,13.024867,0.38661367,0.0017629345
300000,,,,,,,,,15,2.5397372985239426,12101,233,6076,19671,550200,422,135.58005303,1000.0,300,0.0003,135.6,2.5397372985239426,2.483887808721341e-12,13.048917,0.35085708,0.001487138
300001,24,2.483812313909852,138.5,2.5033178,13.132717,138.71234063636362,1000.0,32.54877923608043,,,,,,,,,,,,,,,,,,
304000,,,,,,,,,15,2.523007467317311,12293,236,6163,19985,558200,427,135.67598655999998,1000.0,304,0.0003,135.7,2.523007467317311,2.699798230603157e-12,12.969649,0.44585705,0.0018406338
308000,,,,,,,,,15,2.468063303695443,12486,239,6248,20274,566200,433,135.90078366000003,1000.0,308,0.0003,135.9,2.468063303695443,2.7105348310219784e-12,13.007203,0.35926092,0.0013027446
310001,24,2.22517930658524,138.3,2.2498612,13.117459,141.24726054545457,1000.0,32.65096510572215,,,,,,,,,,,,,,,,,,
312000,,,,,,,,,15,2.378376332095488,12680,243,6339,20594,574200,439,136.01384174999998,1000.0,312,0.0003,136.0,2.378376332095488,2.544772517736789e-12,13.088408,0.3498004,0.0014189049
316000,,,,,,,,,15,2.366417748951341,12876,246,6429,20893,582200,444,136.13283873,1000.0,316,0.0003,136.1,2.366417748951341,2.6491500813877423e-12,13.058062,0.35031036,0.0014275823
320000,,,,,,,,,15,2.8353974423457515,13072,250,6519,21189,590200,450,136.21126554999998,1000.0,320,0.0003,136.2,2.8353974423457515,2.6911668326857357e-12,13.12199,0.39744323,0.0014970733
320001,24,2.394241181342517,138.6,2.4235537,13.159183,140.1366648181818,1000.0,32.815409597570444,,,,,,,,,,,,,,,,,,
324000,,,,,,,,,15,2.7118604007642717,13259,253,6607,21500,598200,456,136.33406616,1000.0,324,0.0003,136.3,2.7118604007642717,2.6830742885874968e-12,13.051702,0.4640477,0.0015909397
328000,,,,,,,,,15,2.474080003625151,13458,256,6697,21801,606200,462,136.54470576999998,1000.0,328,0.0003,136.5,2.474080003625151,2.6645543451596966e-12,13.08769,0.44125253,0.0016480323
330001,24,3.3583233075585226,138.5,3.371194,13.065838,129.50072054545456,1000.0,32.75310713158577,,,,,,,,,,,,,,,,,,
332000,,,,,,,,,15,2.387190614083026,13651,260,6786,22118,614200,467,136.00095495000002,1000.0,332,0.0003,136.0,2.387190614083026,2.6549495649227315e-12,13.603128,0.51913255,0.0019748304
336000,,,,,,,,,14,2.491789314077523,13842,263,6873,22406,622200,473,136.08005754,1000.0,336,0.0003,136.1,2.491789314077523,2.6032799387767563e-12,13.009785,0.4051273,0.0018610883
340000,,,,,,,,,14,2.8366141046819973,14041,266,6963,22706,630200,478,136.21877808,1000.0,340,0.0003,136.2,2.8366141046819973,2.6886283500057514e-12,13.047347,0.37091517,0.0016583913
340001,24,2.1317373709909746,138.2,2.164443,13.264886,144.38969754545454,1000.0,33.392140513078544,,,,,,,,,,,,,,,,,,
344000,,,,,,,,,14,2.494932799417183,14229,270,7048,23014,638200,484,136.39997225,1000.0,344,0.0003,136.4,2.494932799417183,2.7099925132725096e-12,13.1259985,0.41228694,0.0015920767
348000,,,,,,,,,14,2.413242374616907,14419,273,7137,23304,646200,490,136.55403928,1000.0,348,0.0003,136.6,2.413242374616907,2.577307946440976e-12,13.654314,0.33247977,0.0013874017
350001,23,2.0462019698113623,138.9,2.072913,13.157492,143.65825309090908,1000.0,32.874095062095336,,,,,,,,,,,,,,,,,,
352000,,,,,,,,,14,2.402337176899795,14613,276,7227,23623,654200,495,136.78446918,1000.0,352,0.0003,136.8,2.402337176899795,2.615559523561877e-12,13.115183,0.41426146,0.0015952778
356000,,,,,,,,,14,2.361129307063463,14812,280,7317,23923,662200,501,136.96942851000003,1000.0,356,0.0003,137.0,2.361129307063463,2.620523264101337e-12,13.215075,0.33987653,0.001151766
360000,,,,,,,,,14,2.343426512009757,15005,283,7405,24215,670200,506,137.11299437000002,1000.0,360,0.0003,137.1,2.343426512009757,2.6101591649186173e-12,13.170862,0.37354958,0.0014484718
360001,24,2.172770158922976,139.5,2.2029243,13.140807,143.08927118181816,1000.0,33.74636223394804,,,,,,,,,,,,,,,,,,
364000,,,,,,,,,14,2.3866722708039223,15195,286,7491,24526,678200,512,137.23079644,1000.0,364,0.0003,137.2,2.3866722708039223,2.378886204053762e-12,13.640268,0.2996232,0.001226043
368000,,,,,,,,,14,2.3905643282080287,15387,290,7580,24818,686200,518,137.34053237999998,1000.0,368,0.0003,137.3,2.3905643282080287,2.5697101739395226e-12,13.140879,0.3471077,0.0012555044
