eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_eplenmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_qs,eval mean 100 episode reward,act_time,discount_q,qs_difference,train_time,eplenmean,n_updates,ep_rewmean,mean 100 episode reward,env_time,time_elapsed,fps,update_time,current_lr,qs_mean,qs_abs_difference,episodes,q_grad_norm,qfs_loss
,,220000,,,,,,,166,2.6071922127290862e-12,2.932948737754981,4343,1000.0,390200,152.04057602,152.0,319,13784,15,8336,0.0003,15.295179,2.932948737754981,220,0.57214445,0.0030946508
155.29972536363636,24,220001,1000.0,2.7179966921789918,33.079753666016266,2.7574286,14.973074,155.6,,,,,,,,,,,,,,,,,,
,,224000,,,,,,,170,2.617846533179526e-12,2.941092869273264,4435,1000.0,398200,152.21934573000001,152.2,325,14111,15,8535,0.0003,15.074381,2.941092869273264,224,0.49346164,0.0021324747
,,228000,,,,,,,173,2.668354934220189e-12,2.8857252218936353,4525,1000.0,406200,152.21584606,152.2,331,14408,15,8731,0.0003,15.310316,2.8857252218936353,228,0.55296063,0.0024961035
159.5178480909091,24,230001,1000.0,2.621858326167777,33.42174119956763,2.6614091,15.26489,155.9,,,,,,,,,,,,,,,,,,
,,232000,,,,,,,177,2.5174405244032717e-12,2.9578313130536835,4616,1000.0,414200,152.10172697,152.1,337,14732,15,8928,0.0003,15.276056,2.9578313130536835,232,0.53594524,0.0021697835
,,236000,,,,,,,180,2.5598817278749195e-12,2.893031530098425,4707,1000.0,422200,152.36407555000002,152.4,343,15033,15,9128,0.0003,15.459746,2.893031530098425,236,0.5055656,0.0018998656
,,240000,,,,,,,183,2.660107244943792e-12,2.8933560218566523,4796,1000.0,430200,152.4615387,152.5,349,15328,15,9322,0.0003,15.082209,2.8933560218566523,240,0.40240085,0.0015319071
155.90464718181818,23,240001,1000.0,2.7504824089953543,33.427918651142484,2.7693644,15.031586,155.7,,,,,,,,,,,,,,,,,,
,,244000,,,,,,,187,2.5693825907173537e-12,2.983870710922317,4888,1000.0,438200,152.59272202,152.6,354,15652,15,9520,0.0003,15.453091,2.983870710922317,244,0.4884054,0.0021979825
,,248000,,,,,,,190,2.604804768568555e-12,3.4853796379028035,4978,1000.0,446200,152.76050350000003,152.8,360,15949,15,9716,0.0003,15.078289,3.4853796379028035,248,0.42843592,0.0016800108
158.27497154545452,23,250001,1000.0,2.7099252958717654,33.38335992098337,2.7284453,15.232469,155.9,,,,,,,,,,,,,,,,,,
,,252000,,,,,,,193,2.640869214966673e-12,2.9314115798419826,5069,1000.0,454200,152.82312380000002,152.8,366,16273,15,9913,0.0003,15.384964,2.9314115798419826,252,0.42241696,0.001704189
,,256000,,,,,,,197,2.695481421593168e-12,3.7877841519985265,5158,1000.0,462200,152.73368497,152.7,372,16571,15,10111,0.0003,14.9425745,3.7877841519985265,256,0.4766114,0.0018545382
,,260000,,,,,,,200,2.5814088096632444e-12,3.9382355502953312,5249,1000.0,470200,152.80111276000002,152.8,378,16875,15,10313,0.0003,15.1051445,3.9382355502953312,260,0.38176522,0.001548806
151.87805936363637,23,260001,1000.0,2.863127142656916,33.44525787669823,2.8780272,14.739853,156.2,,,,,,,,,,,,,,,,,,
,,264000,,,,,,,203,2.6466289456318565e-12,2.9527137911599795,5341,1000.0,478200,152.79260827,152.8,384,17201,15,10512,0.0003,14.893708,2.9527137911599795,264,0.44495177,0.0017490822
,,268000,,,,,,,207,2.6299485729416726e-12,3.069080842600262,5431,1000.0,486200,152.49677271000002,152.5,390,17498,15,10707,0.0003,15.148868,3.069080842600262,268,0.35254693,0.001351672
157.19616327272726,24,270001,1000.0,2.909339535123136,33.04483109608413,2.9284089,15.357517,156.5,,,,,,,,,,,,,,,,,,
,,272000,,,,,,,210,2.624590060237693e-12,2.973110457602586,5521,1000.0,494200,152.49510213000002,152.5,396,17817,15,10901,0.0003,15.131888,2.973110457602586,272,0.35040525,0.0013127183
,,276000,,,,,,,213,2.5843135565432753e-12,3.0262259042105506,5611,1000.0,502200,152.48362486000002,152.5,401,18115,15,11099,0.0003,15.275502,3.0262259042105506,276,0.40588993,0.0016594786
,,280000,,,,,,,217,2.650270645304796e-12,3.1030389709839246,5698,1000.0,510200,152.59076891,152.6,407,18402,15,11287,0.0003,15.161879,3.1030389709839246,280,0.36217177,0.0015298254
158.29573945454547,24,280001,1000.0,2.628134517069928,33.30895152517397,2.638453,15.160122,156.7,,,,,,,,,,,,,,,,,,
,,284000,,,,,,,220,2.6452492979726674e-12,3.381988742522495,5785,1000.0,518200,152.46704065,152.5,413,18717,15,11480,0.0003,15.467375,3.381988742522495,284,0.42057693,0.001636544
,,288000,,,,,,,224,2.6676527836775e-12,2.937873716142806,5877,1000.0,526200,152.24537704,152.2,419,19010,15,11670,0.0003,15.249308,2.937873716142806,288,0.37750676,0.0016216747
156.72859563636365,24,290001,1000.0,2.673528575963332,33.109585519212565,2.682802,15.06854,156.8,,,,,,,,,,,,,,,,,,
,,292000,,,,,,,227,2.661483129550941e-12,2.961636741780554,5966,1000.0,534200,152.35623947,152.4,425,19329,15,11863,0.0003,15.243363,2.961636741780554,292,0.45336,0.0018475204
,,296000,,,,,,,230,2.692791601454049e-12,3.604442485222974,6057,1000.0,542200,152.37519190999998,152.4,431,19627,15,12060,0.0003,15.263654,3.604442485222974,296,0.35331783,0.0014517191
,,300000,,,,,,,234,2.4930717629265827e-12,2.882075756000653,6145,1000.0,550200,152.21866914999998,152.2,436,19918,15,12252,0.0003,15.104857,2.882075756000653,300,0.31104243,0.0012473619
161.1018007272727,23,300001,1000.0,2.6364316922583617,33.55390630643765,2.649616,15.424777,157.1,,,,,,,,,,,,,,,,,,
,,304000,,,,,,,237,2.6748509302357602e-12,3.0153327033056514,6232,1000.0,558200,152.18185173,152.2,442,20227,15,12440,0.0003,15.467512,3.0153327033056514,304,0.40220082,0.0016112844
,,308000,,,,,,,240,2.5493151514583133e-12,2.9958193201521905,6322,1000.0,566200,152.14300038999997,152.1,448,20526,15,12637,0.0003,15.313607,2.9958193201521905,308,0.51174086,0.0021239165
159.3921219090909,24,310001,1000.0,2.6880896806397008,33.551502162098224,2.6970823,15.305704,157.5,,,,,,,,,,,,,,,,,,
,,312000,,,,,,,244,2.591471966542439e-12,2.9687585123899827,6411,1000.0,574200,152.30299255,152.3,454,20846,14,12833,0.0003,15.184597,2.9687585123899827,312,0.27603555,0.000996038
,,316000,,,,,,,247,2.7551470589517118e-12,3.108007272957611,6500,1000.0,582200,152.36929804000002,152.4,460,21143,14,13030,0.0003,15.252889,3.108007272957611,316,0.32001975,0.0012121572
