eval mean 100 episode reward,eval_time_elapsed,eval_discount_q,eval_ep_rewmean,eval_qs,eval_qs_difference,eval_eplenmean,total timesteps,eval_abs_qs_difference,n_updates,discount_q,qs_abs_difference,time_elapsed,train_time,update_time,eplenmean,qs_mean,qs_difference,ep_rewmean,fps,mean 100 episode reward,env_time,current_lr,act_time,episodes
,,,,,,,1843,,0,3.5514429541308874,3.943163767775609,8,0,3,20.943181818181817,-0.69670206,-3.943163767775609,17.579690204545454,229,17.6,3,0.0003,0,88
,,,,,,,1953,,0,6.650606049027952,6.063700241771271,8,0,3,21.22826086956522,-0.80524707,-6.063700241771271,17.614654891304347,229,17.6,3,0.0003,0,92
,,,,,,,2025,,0,3.914034515566267,3.769188337113882,8,0,3,21.09375,-0.5649665,-3.769188337113882,17.414412552083334,225,17.4,3,0.0003,0,96
,,,,,,,2125,,0,18.36668445012462,18.563180133573603,9,0,4,21.25,-0.7253627,-18.563180133573603,17.430107420000002,222,17.4,3,0.0003,0,100
,,,,,,,2175,,0,5.284203183803658,4.326608371842792,9,0,4,21.01,-0.38982967,-4.326608371842792,17.3240619,225,17.3,3,0.0003,0,104
,,,,,,,2265,,0,4.647886277186697,5.5130985983070255,10,0,4,21.25,-0.5691765,-5.5130985983070255,17.29348267,221,17.3,3,0.0003,0,108
,,,,,,,2371,,0,3.355624379852899,3.843526104198455,10,0,4,21.36,-0.9424502,-3.843526104198455,17.05546443,219,17.1,3,0.0003,0,112
,,,,,,,2460,,0,8.133906098838724,8.240565175147443,11,0,5,21.49,-0.5325761,-8.240565175147443,16.99463954,217,17.0,4,0.0003,0,116
,,,,,,,2551,,0,5.85355136517323,6.364281302018232,11,0,5,21.68,-0.75633615,-6.364281302018232,17.077419700000004,214,17.1,4,0.0003,0,120
,,,,,,,2629,,0,3.2753330524712796,3.9305064613789846,12,0,6,21.44,-0.7929263,-3.9305064613789846,16.869278880000003,210,16.9,4,0.0003,0,124
,,,,,,,2715,,0,5.372484826243388,4.448669172836363,13,0,6,21.68,-0.5697715,-4.435683553006441,16.8128961,207,16.8,4,0.0003,0,128
,,,,,,,2822,,0,3.9229417650238165,4.445778190619592,13,0,6,21.92,-0.47693938,-4.445778190619592,17.5313234,205,17.5,4,0.0003,0,132
,,,,,,,2916,,0,4.706899064224573,3.012398140419413,14,0,7,22.14,-0.5006492,-3.012398140419413,17.55531708,203,17.6,4,0.0003,0,136
,,,,,,,3029,,0,30.883378211012875,37.53541352733278,15,0,7,22.61,-0.83565927,-37.53541352733278,18.417303219999997,201,18.4,4,0.0003,0,140
,,,,,,,3102,,0,7.6080276205119155,8.299461715509276,15,0,8,22.43,-0.7199851,-8.299461715509276,18.231808139999995,197,18.2,4,0.0003,0,144
,,,,,,,3251,,0,25.984333852348637,42.75457764052153,16,0,8,23.23,-0.5345302,-42.75457764052153,19.11313732,196,19.1,5,0.0003,0,148
,,,,,,,3332,,0,3.4229453906809306,3.3942393957694272,17,0,9,23.17,-0.85648227,-3.3942393957694272,19.36617126,192,19.4,5,0.0003,0,152
,,,,,,,3456,,0,4.222853528201887,5.171454446940202,18,0,9,23.46,-0.6443573,-5.171454446940202,19.255570379999998,191,19.3,5,0.0003,0,156
,,,,,,,3539,,0,6.749033934444447,4.891106868412888,18,0,10,23.16,-0.36995542,-4.891106868412888,18.380254289999996,187,18.4,5,0.0003,0,160
