eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,,,176000,,,68.04161729,2.362022821970515e-12,254,6145,176,0.0003,1000.0,1.4159616894578217,16,1.4159616894578217,3326,10371,134,68.0,302200,3.4130301,0.007023914,0.79792345
,,,,,,180000,,,70.92937759999998,2.362708209353873e-12,260,6338,180,0.0003,1000.0,2.726481379870852,16,2.726481379870852,3414,10662,137,70.9,310200,11.400051,0.0075735305,0.87635905
1000.0,2.4012652975177486,22,74.3,113.78989954545455,29.9054765483919,180001,10.8196125,2.412276,,,,,,,,,,,,,,,,,,
,,,,,,184000,,,73.70917233,2.4120636957164955e-12,265,6533,184,0.0003,1000.0,2.6242991804967524,16,2.6242991804967524,3502,10978,141,73.7,318200,11.538903,0.008621353,0.8526931
,,,,,,188000,,,76.6457935,2.423972298763287e-12,271,6730,188,0.0003,1000.0,2.740210473443536,16,2.740210473443536,3590,11275,144,76.6,326200,12.11967,0.006532752,0.7641157
1000.0,2.2205722224396207,24,81.1,111.98623472727272,31.220645157151342,190001,10.328352,2.22765,,,,,,,,,,,,,,,,,,
,,,,,,192000,,,79.64583205,2.605400994718303e-12,277,6925,192,0.0003,1000.0,2.6035309325943654,16,2.6035309325943654,3677,11593,148,79.6,334200,11.807452,0.007461399,0.80302
,,,,,,196000,,,81.80382578,2.2676388973888598e-12,283,7122,196,0.0003,1000.0,3.067410931325116,16,3.067410931325116,3766,11890,151,81.8,342200,11.730979,0.005485171,0.6819922
,,,,,,200000,,,84.67098609,2.3727561676900792e-12,288,7319,200,0.0003,1000.0,2.6677213523150165,16,2.6677213523150165,3854,12187,154,84.7,350200,12.384799,0.005276011,0.6524446
1000.0,2.526250848715497,23,88.7,126.33587572727274,29.643021933873012,200001,12.22518,2.5329893,,,,,,,,,,,,,,,,,,
,,,,,,204000,,,87.67294628999998,2.432328076031484e-12,294,7511,204,0.0003,1000.0,2.747827205027348,16,2.747827205027348,3942,12501,158,87.7,358200,12.142259,0.0048801852,0.6692764
,,,,,,208000,,,90.52611669,2.299548843912008e-12,300,7706,208,0.0003,1000.0,2.8509488095864666,16,2.8509488095864666,4029,12794,161,90.5,366200,12.501463,0.0061271284,0.6631323
1000.0,2.7554561581784207,22,94.8,123.6948891818182,30.278821196537674,210001,12.127341,2.7572103,,,,,,,,,,,,,,,,,,
,,,,,,212000,,,93.56227690999998,2.4543628453832316e-12,305,7897,212,0.0003,1000.0,2.9729754705979445,16,2.9729754705979445,4116,13105,165,93.6,374200,12.285896,0.004730947,0.67524916
,,,,,,216000,,,96.27006309999999,2.4852771030287647e-12,311,8098,216,0.0003,1000.0,2.9931610464108536,16,2.9931610464108536,4207,13409,168,96.3,382200,12.504923,0.0045126523,0.603799
,,,,,,220000,,,99.04042269000001,2.592775604482304e-12,317,8293,220,0.0003,1000.0,3.0247101944020685,16,3.0253993724734145,4293,13701,172,99.0,390200,13.264705,0.0054058386,0.834792
1000.0,2.968661603766888,24,103.1,136.60458554545454,30.798149582888268,220001,13.580103,2.9834936,,,,,,,,,,,,,,,,,,
,,,,,,224000,,,101.88148374000002,2.4481088738038943e-12,323,8489,224,0.0003,1000.0,3.599751928269823,15,3.6026866070860137,4383,14022,175,101.9,398200,14.397854,0.005956078,0.6780404
,,,,,,228000,,,104.13643142,2.443545647852274e-12,329,8690,228,0.0003,1000.0,3.425566684869605,15,3.425566684869605,4472,14323,179,104.1,406200,13.344848,0.004003901,0.5998727
1000.0,2.873454054345466,24,111.1,140.2208699090909,32.23086342189302,230001,13.704685,2.8885634,,,,,,,,,,,,,,,,,,
,,,,,,232000,,,106.50700054,2.4161305883136328e-12,334,8887,232,0.0003,1000.0,3.040341199113443,15,3.040341199113443,4562,14645,182,106.5,414200,14.102477,0.0037333434,0.48392877
,,,,,,236000,,,109.17622664000002,2.595883526249849e-12,340,9082,236,0.0003,1000.0,3.4099679117617567,15,3.4099679117617567,4649,14939,186,109.2,422200,13.614351,0.0038290038,0.587228
,,,,,,240000,,,111.91787324,2.4049805865471906e-12,346,9279,240,0.0003,1000.0,3.0210602423996726,15,3.0210602423996726,4736,15234,189,111.9,430200,13.892137,0.00397213,0.62640417
1000.0,2.7982791084241327,24,118.3,137.66761,32.29713567928766,240001,13.367624,2.814102,,,,,,,,,,,,,,,,,,
,,,,,,244000,,,114.61505357999997,2.4387889554976388e-12,352,9468,244,0.0003,1000.0,3.058200460378699,15,3.058200460378699,4823,15547,193,114.6,438200,13.436301,0.004106918,0.52335817
,,,,,,248000,,,116.56990291,2.6389652749754913e-12,358,9669,248,0.0003,1000.0,3.370596098674256,15,3.370596098674256,4913,15848,196,116.6,446200,13.465188,0.0036081343,0.5315209
1000.0,2.8275929557993718,24,123.9,137.91663036363636,32.59394833952569,250001,13.392455,2.8451452,,,,,,,,,,,,,,,,,,
,,,,,,252000,,,118.84588808999997,2.6097916902352085e-12,363,9862,252,0.0003,1000.0,3.3770585890713547,15,3.3770585890713547,5000,16164,200,118.8,454200,13.528568,0.0031113997,0.5269409
,,,,,,256000,,,120.61935476999999,2.6143504568864344e-12,369,10059,256,0.0003,1000.0,3.1563411415378657,15,3.1563411415378657,5088,16459,203,120.6,462200,13.59151,0.002641181,0.47371772
