eval_discount_q,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_qs,eval mean 100 episode reward,eval_time_elapsed,eval_abs_qs_difference,eval_eplenmean,discount_q,current_lr,n_updates,episodes,qs_abs_difference,eplenmean,fps,mean 100 episode reward,train_time,env_time,ep_rewmean,update_time,qs_difference,time_elapsed,qs_mean,act_time,q_grad_norm,qfs_loss
32.00021446698252,2.2459514989347356,130001,131.1845148181818,12.196382,83.7,22,2.2507365,1000.0,,,,,,,,,,,,,,,,,,
,,132000,,,,,,,2.600191935278233e-12,0.0003,214200,132,2.36242104427411,1000.0,18,78.6,2369,189,78.64627067999999,3941,2.36242104427411,6981,12.609165,94,0.9901508,0.0084425835
,,136000,,,,,,,2.529785296668437e-12,0.0003,222200,136,2.513686654243507,1000.0,18,82.5,2457,195,82.45843467,4123,2.513686654243507,7262,12.936167,97,1.122034,0.008524512
,,140000,,,,,,,2.420921721684049e-12,0.0003,230200,140,2.5167587745528732,1000.0,18,86.4,2547,200,86.41525134,4313,2.5167587745528732,7553,13.066725,101,1.0143286,0.007351625
32.37935566672304,2.366217314514788,140001,139.28820936363638,13.089483,96.4,22,2.4196265,1000.0,,,,,,,,,,,,,,,,,,
,,144000,,,,,,,2.622293176837916e-12,0.0003,238200,144,2.5606533261853635,1000.0,18,90.4,2638,206,90.38575904000001,4505,2.5606533261853635,7869,13.389752,104,0.99191755,0.006691422
,,148000,,,,,,,2.6714415018220517e-12,0.0003,246200,148,2.6546779680641803,1000.0,18,94.5,2723,212,94.54897341000002,4694,2.6546779680641803,8154,13.300214,108,0.9056433,0.0061072153
33.16449452834175,2.6344266213645615,150001,139.24022754545456,13.275165,106.7,22,2.7026093,1000.0,,,,,,,,,,,,,,,,,,
,,152000,,,,,,,2.6507568866254816e-12,0.0003,254200,152,2.5534195972957456,1000.0,17,99.0,2812,217,98.99699548000001,4880,2.5534195972957456,8463,13.335086,111,0.77971435,0.004668926
,,156000,,,,,,,2.7147673940195624e-12,0.0003,262200,156,2.742628322330724,1000.0,17,103.0,2901,223,103.01086864000003,5076,2.742628322330724,8758,13.443809,114,0.793733,0.004532438
,,160000,,,,,,,2.614112093069708e-12,0.0003,270200,160,2.721917366163164,1000.0,17,106.9,2989,228,106.88142700999998,5272,2.721917366163164,9052,13.498984,117,0.7331676,0.004588761
32.52615541173231,2.4866337539382006,160001,142.00944881818182,13.46749,116.9,23,2.5469532,1000.0,,,,,,,,,,,,,,,,,,
,,164000,,,,,,,2.629184181940643e-12,0.0003,278200,164,2.5417395442616484,1000.0,17,110.6,3077,234,110.59213498,5460,2.5417395442616484,9361,13.387903,120,0.79716325,0.0047833896
,,168000,,,,,,,2.6331397752011637e-12,0.0003,286200,168,2.521807382311345,1000.0,17,114.3,3161,239,114.33981763999998,5649,2.521807382311345,9645,13.5331545,124,0.6653435,0.004100822
32.3129172605732,2.392918104898354,170001,143.5371779090909,13.547657,126.6,22,2.455787,1000.0,,,,,,,,,,,,,,,,,,
,,172000,,,,,,,2.7215324724190384e-12,0.0003,294200,172,2.693797155670234,1000.0,17,118.4,3251,245,118.36630490000002,5841,2.693797155670234,9961,13.580607,127,0.73614144,0.004398203
,,176000,,,,,,,2.4791618682625242e-12,0.0003,302200,176,2.6319222166156595,1000.0,17,122.1,3340,250,122.05742116000002,6032,2.6319222166156595,10252,13.693891,130,0.66459864,0.0033742904
,,180000,,,,,,,2.627233222845301e-12,0.0003,310200,180,2.743167630551434,1000.0,17,124.7,3423,256,124.69660237000002,6218,2.743167630551434,10531,13.72099,134,0.64780563,0.0035477125
31.351396809084193,2.7795011247352357,180001,131.11567863636364,12.787281,129.3,23,2.7999527,1000.0,,,,,,,,,,,,,,,,,,
,,184000,,,,,,,2.615302064606161e-12,0.0003,318200,184,2.7392259192091553,1000.0,16,128.0,3516,262,128.01656392,6409,2.7392259192091553,10848,13.628687,137,0.61161435,0.0031496375
,,188000,,,,,,,2.4982224780011042e-12,0.0003,326200,188,2.85472651273652,1000.0,16,131.5,3602,267,131.48730794000002,6592,2.85472651273652,11129,13.528708,140,0.8033065,0.0040968833
32.28444143584884,2.8304185393523227,190001,139.37813527272726,13.572071,135.6,23,2.8610392,1000.0,,,,,,,,,,,,,,,,,,
,,192000,,,,,,,2.717664401098773e-12,0.0003,334200,192,2.7262902870369845,1000.0,16,133.7,3693,273,133.70021108,6789,2.7262902870369845,11452,13.542214,144,0.738279,0.003984556
,,196000,,,,,,,2.5877360247070773e-12,0.0003,342200,196,2.873222474571526,1000.0,16,134.5,3783,279,134.53407991,6981,2.873222474571526,11745,13.550574,147,0.6299329,0.0030241138
,,200000,,,,,,,2.609081752799895e-12,0.0003,350200,200,2.845920838484157,1000.0,16,135.1,3871,284,135.08009876,7173,2.845920838484157,12035,13.630095,150,0.6688287,0.00342039
32.916332365927744,2.626978861082993,200001,141.8602837272727,13.554291,137.7,23,2.6568973,1000.0,,,,,,,,,,,,,,,,,,
,,204000,,,,,,,2.5910486179341424e-12,0.0003,358200,204,3.173235670294215,1000.0,16,135.3,3960,290,135.31399014000002,7367,3.173235670294215,12352,13.547593,154,0.5871662,0.0025953385
,,208000,,,,,,,2.4477254859011697e-12,0.0003,366200,208,3.2434351910825407,1000.0,16,135.6,4049,295,135.59898080000002,7561,3.2434351910825407,12646,13.664915,157,0.4737794,0.0026224616
32.161584981896056,2.6449345818212295,210001,141.15718581818183,13.576656,138.6,23,2.6672375,1000.0,,,,,,,,,,,,,,,,,,
,,212000,,,,,,,2.7370154052082783e-12,0.0003,374200,212,2.8529394439003433,1000.0,16,136.0,4140,301,136.01660641,7759,2.8529394439003433,12970,13.561879,161,0.65099466,0.0028900672
,,216000,,,,,,,2.618620671446615e-12,0.0003,382200,216,2.9050143891790623,1000.0,16,136.1,4231,307,136.13459568999997,7955,2.9050143891790623,13268,13.445258,164,0.53080094,0.0024556725
,,220000,,,,,,,2.6757163666030854e-12,0.0003,390200,220,2.7637776154132725,1000.0,16,136.6,4320,313,136.60899312,8149,2.7637776154132725,13563,13.325977,167,0.62368405,0.0032640141
32.74648609133989,2.6416336282307866,220001,142.79480127272728,13.679212,139.8,24,2.689862,1000.0,,,,,,,,,,,,,,,,,,
,,224000,,,,,,,2.5051544800409177e-12,0.0003,398200,224,2.9983664890383666,1000.0,16,137.0,4410,318,137.03153931,8342,2.9983664890383666,13881,13.92835,171,0.54482687,0.0031338036
,,228000,,,,,,,2.7664072280473477e-12,0.0003,406200,228,2.868504309319225,1000.0,16,137.4,4497,324,137.37270098,8534,2.868504309319225,14171,13.5024,174,0.45242593,0.0025020975
32.80600260792167,2.8837027500711843,230001,138.15376436363638,13.451284,140.0,22,2.9092088,1000.0,,,,,,,,,,,,,,,,,,
,,232000,,,,,,,2.686731190930317e-12,0.0003,414200,232,2.8451585799693055,1000.0,16,137.7,4587,330,137.65395554,8730,2.8451585799693055,14490,13.573875,177,0.456631,0.0019311467
,,236000,,,,,,,2.541079653695004e-12,0.0003,422200,236,3.063466355715422,1000.0,15,137.7,4675,335,137.70803518,8922,3.063466355715422,14780,13.365063,181,0.4837246,0.0021339045
,,240000,,,,,,,2.5591950719550616e-12,0.0003,430200,240,3.1889646185023364,1000.0,15,137.9,4760,341,137.88201927999998,9114,3.1889646185023364,15069,13.47718,184,0.5941069,0.0027019354
32.88042090392829,2.6135080138387807,240001,139.88185772727272,13.346533,139.9,23,2.6384535,1000.0,,,,,,,,,,,,,,,,,,
,,244000,,,,,,,2.814421440135932e-12,0.0003,438200,244,2.7604885488478286,1000.0,15,137.9,4846,346,137.92834962999999,9304,2.7604885488478286,15378,13.486485,187,0.4577856,0.001961169
,,248000,,,,,,,2.5728992660068254e-12,0.0003,446200,248,2.8099388587205802,1000.0,15,138.1,4937,352,138.13319117,9498,2.8099388587205802,15674,13.901974,191,0.47956002,0.0018265867
32.46047707036625,2.621455807762973,250001,142.64853890909092,13.672723,140.0,23,2.647334,1000.0,,,,,,,,,,,,,,,,,,
,,252000,,,,,,,2.685058052356453e-12,0.0003,454200,252,2.79958515956356,1000.0,15,138.3,5024,358,138.26553486999998,9696,2.79958515956356,15994,13.533022,194,0.42333084,0.0018021241
,,256000,,,,,,,2.4273841052563617e-12,0.0003,462200,256,2.7467411521288403,1000.0,15,138.4,5112,363,138.38732893,9886,2.7467411521288403,16283,14.237197,197,0.47924915,0.0021607957
,,260000,,,,,,,2.6592478457136684e-12,0.0003,470200,260,2.788775123886636,1000.0,15,138.4,5201,369,138.43572712999998,10073,2.788775123886636,16569,13.884836,201,0.5255279,0.0024298117
32.693948521832134,2.544418509510055,260001,141.6728728181818,13.475003,139.9,23,2.5693865,1000.0,,,,,,,,,,,,,,,,,,
,,264000,,,,,,,2.5351410512383656e-12,0.0003,478200,264,2.745675198579549,1000.0,15,138.4,5294,374,138.44485421,10262,2.745675198579549,16885,13.9633465,204,0.58665955,0.0025437209
,,268000,,,,,,,2.5803047851887953e-12,0.0003,486200,268,2.840764204849532,1000.0,15,138.5,5385,380,138.53935987,10462,2.840764204849532,17186,13.731809,207,0.42323506,0.0018053625
33.09996933958019,2.4897517144098518,270001,143.77558863636364,13.590412,141.2,23,2.511239,1000.0,,,,,,,,,,,,,,,,,,
,,272000,,,,,,,2.630063087821062e-12,0.0003,494200,272,2.7655471067135995,1000.0,15,138.6,5475,386,138.57170613999997,10662,2.7655471067135995,17511,13.577639,211,0.48983693,0.002140919
,,276000,,,,,,,2.7425465696391046e-12,0.0003,502200,276,2.673821881549169,1000.0,15,138.7,5564,391,138.70562094,10856,2.673821881549169,17804,13.606063,214,0.52726805,0.0025658365
,,280000,,,,,,,2.659675601946162e-12,0.0003,510200,280,3.148539258371048,1000.0,15,139.7,5653,397,139.66798426999998,11054,3.148539258371048,18101,13.700209,217,0.49671155,0.0020753404
33.842985147280146,2.5360692635388067,280001,144.9800160909091,13.683615,141.8,22,2.557987,1000.0,,,,,,,,,,,,,,,,,,
,,284000,,,,,,,2.7255741770137313e-12,0.0003,518200,284,3.2212919144407293,1000.0,15,139.9,5743,402,139.86366252,11250,3.2212919144407293,18421,13.606634,220,0.48792318,0.0017434625
,,288000,,,,,,,2.6569220063627657e-12,0.0003,526200,288,2.729953941874288,1000.0,15,139.9,5834,408,139.89345158999998,11447,2.729953941874288,18719,13.738498,224,0.40965724,0.0017825494
33.34684686666816,2.5279521019660645,290001,144.83454954545454,13.710069,142.2,23,2.5487487,1000.0,,,,,,,,,,,,,,,,,,
,,292000,,,,,,,2.586540245777144e-12,0.0003,534200,292,2.869709141004253,1000.0,15,139.8,5923,413,139.84517769,11645,2.869709141004253,19040,13.725406,227,0.44990674,0.002354514
,,296000,,,,,,,2.578197777574863e-12,0.0003,542200,296,2.7760226696112684,1000.0,15,140.0,6011,419,139.95617293,11838,2.7760226696112684,19332,13.913613,230,0.42865437,0.001704548
,,300000,,,,,,,2.612881395413518e-12,0.0003,550200,300,2.7940641693198622,1000.0,15,140.1,6101,424,140.11112246000002,12039,2.7940641693198622,19633,13.978052,233,0.43079445,0.0017743637
33.25734718449438,2.5507907311051694,300001,145.8743580909091,13.84575,142.6,23,2.5703578,1000.0,,,,,,,,,,,,,,,,,,
,,304000,,,,,,,2.57827608443004e-12,0.0003,558200,304,2.6944385544996754,1000.0,15,140.3,6192,430,140.30964867999998,12235,2.6944385544996754,19954,13.796657,237,0.34691146,0.001250044
,,308000,,,,,,,2.696611724754895e-12,0.0003,566200,308,2.695525990121287,1000.0,15,140.6,6279,435,140.59477323,12426,2.695525990121287,20242,13.895817,240,0.3935981,0.0014683077
32.381812252507274,2.4093747632586924,310001,146.45091181818182,13.848666,143.1,21,2.4370887,1000.0,,,,,,,,,,,,,,,,,,
,,312000,,,,,,,2.671996809562104e-12,0.0003,574200,312,2.8985838101530264,1000.0,15,140.8,6372,441,140.77740653,12618,2.8985838101530264,20560,13.969037,243,0.41729534,0.0016786008
,,316000,,,,,,,2.635087269963731e-12,0.0003,582200,316,2.7112985822643476,1000.0,15,141.0,6464,447,140.95162506999998,12819,2.7112985822643476,20863,13.996966,247,0.31104955,0.0012651995
,,320000,,,,,,,2.6598832749945753e-12,0.0003,590200,320,2.690456791852758,1000.0,15,141.2,6551,452,141.15366547,13009,2.690456791852758,21151,14.005875,250,0.43462062,0.001761271
33.01270271579156,2.3914349042024856,320001,147.70744327272726,13.893922,144.0,21,2.4138446,1000.0,,,,,,,,,,,,,,,,,,
,,324000,,,,,,,2.7001364377942988e-12,0.0003,598200,324,2.851583739571912,1000.0,15,141.4,6643,458,141.37360374999997,13207,2.851583739571912,21474,13.957138,253,0.33937782,0.0013418912
,,328000,,,,,,,2.6419936192049465e-12,0.0003,606200,328,3.160656520714265,1000.0,15,141.6,6731,463,141.58586628999998,13405,3.160656520714265,21770,13.952858,256,0.4022888,0.0013851087
32.86810513049155,2.740502239386835,330001,144.73865545454544,13.960425,144.7,23,2.7576463,1000.0,,,,,,,,,,,,,,,,,,
,,332000,,,,,,,2.6431962061329167e-12,0.0003,614200,332,3.040293400279052,1000.0,15,141.8,6823,469,141.78779781,13605,3.040293400279052,22096,14.018279,259,0.36763427,0.0011930059
,,336000,,,,,,,2.5710467112238632e-12,0.0003,622200,336,2.752454184152496,1000.0,15,142.1,6912,474,142.08079178000003,13801,2.752454184152496,22390,13.996456,263,0.367577,0.0012384267
,,340000,,,,,,,2.8123919584849297e-12,0.0003,630200,340,2.7285416870631414,1000.0,14,142.3,7001,479,142.31258418,14001,2.7285416870631414,22690,13.892578,266,0.36423424,0.001316077
