eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,120000,,,,,0.0003,3399,2.2349006469920955e-12,19,6103,120,3.7009934734531087,42.170079099999995,175,1000.0,42.2,2112,83,3.7009934734531087,190200,6.4752383,0.019913172,1.1723797
3.5924326801107442,1000.0,55.637895545454555,24,120001,29.00451621150729,6.284775,3.592433,46.5,,,,,,,,,,,,,,,,,,
,,,,124000,,,,,0.0003,3589,2.20682980283309e-12,19,6416,124,3.775441658651499,44.474816059999995,180,1000.0,44.5,2200,86,3.775441658651499,198200,6.751245,0.022917656,1.0369552
,,,,128000,,,,,0.0003,3776,2.2257895179435052e-12,19,6698,128,4.041642672080223,46.012282490000004,186,1000.0,46.0,2284,90,4.041642672080223,206200,7.48463,0.016080692,0.99946564
3.7360207780139363,1000.0,64.88851854545455,21,130001,28.575050723190202,7.3959427,3.7360206,49.2,,,,,,,,,,,,,,,,,,
,,,,132000,,,,,0.0003,3965,2.4497444480216927e-12,18,7008,132,3.720732380611528,47.44856330999999,192,1000.0,47.4,2373,93,3.720732380611528,214200,7.625827,0.014898343,0.9365077
,,,,136000,,,,,0.0003,4159,2.2178941597539748e-12,18,7303,136,4.2191687039518575,48.45372162999999,198,1000.0,48.5,2462,96,4.2191687039518575,222200,7.797489,0.007977895,0.68252
,,,,140000,,,,,0.0003,4354,2.0862182109701122e-12,18,7599,140,4.092237573584623,49.297297179999994,204,1000.0,49.3,2553,100,4.092237573584623,230200,7.805053,0.0052994816,0.59558505
3.718724354259588,1000.0,66.84304154545454,23,140001,28.551650116878363,7.5764155,3.7187243,51.9,,,,,,,,,,,,,,,,,,
,,,,144000,,,,,0.0003,4550,2.196580136275893e-12,18,7919,144,3.864083782762626,50.40130018000001,210,1000.0,50.4,2642,103,3.864083782762626,238200,7.9123015,0.0039535314,0.55422246
,,,,148000,,,,,0.0003,4740,2.456056799935589e-12,18,8210,148,3.235606691731317,51.49336541,216,1000.0,51.5,2732,107,3.235606691731317,246200,8.372707,0.009915738,1.0201863
