eval_eplenmean,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_abs_qs_difference,eval_qs,eval_qs_difference,fps,update_time,act_time,qs_difference,discount_q,mean 100 episode reward,ep_rewmean,eplenmean,train_time,env_time,episodes,current_lr,qs_mean,n_updates,time_elapsed,qs_abs_difference,qfs_loss,q_grad_norm
27.272727272727273,0,23.4,23.50451109090909,21.090779311549312,1,10.0202875,-0.39565918,-10.020287206433272,,,,,,,,,,,,,,,,,,
,,,,,245132,,,,12,12595,165,255.6427442119396,0.007494333164240301,1544.7,1544.72130495,419.17,5768,372,1968,0.0003,329.4049,440400,19186,255.6427442119396,39.761826,2007.2549
,,,,,245961,,,,12,12630,166,4.106942752124019,0.677553790124209,1532.3,1532.3309365000002,415.46,5788,373,1972,0.0003,279.45453,442000,19244,8.337774405196221,28.75553,1579.4092
,,,,,247391,,,,12,12692,167,0.4107416163998537,0.008067237579463428,1517.2,1517.1949494599999,410.51,5825,376,1976,0.0003,327.73657,444800,19346,4.369718739139843,29.225348,1525.143
,,,,,248942,,,,12,12762,168,1.168542880081843,0.00674079473388088,1515.7,1515.6902857199998,408.68,5866,378,1980,0.0003,337.99365,448000,19462,4.789081641225861,28.050112,1701.0045
,,,,,249726,,,,12,12797,169,251.06390049421685,0.0937557374231528,1538.3,1538.30665286,413.78,5887,379,1984,0.0003,332.38693,449600,19520,251.06390049421685,42.62358,1716.8469
364.0,8,1895.4,1329.796219,262.22678897864876,250001,39.265408,318.00803,35.9955998944638,,,,,,,,,,,,,,,,,,
,,,,,250551,,,,12,12832,169,4.027870161217989,1.998386403437271,1543.7,1543.70893313,414.77,5908,381,1988,0.0003,312.51605,451200,19587,7.3007376238491695,41.371773,2001.9325
,,,,,251691,,,,12,12880,170,6.358395480048608,0.044526052317495186,1535.5,1535.5091392200004,411.67,5937,382,1992,0.0003,296.9198,453400,19666,8.033874228664677,31.81447,1566.4778
,,,,,252737,,,,12,12928,171,49.21229633061891,0.05304269264320068,1526.0,1525.9573859099996,408.23,5965,384,1996,0.0003,283.68274,455600,19746,49.3079522580572,43.91976,2007.8386
,,,,,254221,,,,12,12994,172,-1.5038806640874391,0.001344085894242212,1511.6,1511.59229521,404.59,6004,386,2000,0.0003,294.02197,458600,19854,6.626254307351166,40.965717,2221.5354
,,,,,255554,,,,12,13051,173,26.09016955503734,0.04040427017642386,1497.7,1497.71741546,400.5,6038,389,2004,0.0003,343.77917,461200,19949,26.48850987763665,36.77284,1728.936
,,,,,256911,,,,12,13112,174,35.06476000832148,0.011973808070012323,1443.5,1443.5118130000003,385.93,6074,391,2008,0.0003,328.2779,464000,20050,35.5164147366199,26.06876,1279.4331
,,,,,258013,,,,12,13160,175,39.64785337308208,0.15205534363090772,1410.7,1410.67382457,376.84,6103,392,2012,0.0003,328.75174,466200,20129,39.64785337308208,37.55031,1433.4095
,,,,,259402,,,,12,13221,176,12.87200153924254,0.006481645872341284,1362.3,1362.26677028,363.09,6139,395,2016,0.0003,320.63837,469000,20230,12.960159792443758,31.599014,1568.8595
266.3636363636364,6,1797.1,1043.2636074545453,277.15902970396525,260001,11.21927,296.96146,8.354619383485074,,,,,,,,,,,,,,,,,,
,,,,,260692,,,,12,13273,177,52.36715061473366,0.037305950419959405,1319.9,1319.93579504,351.64,6171,397,2020,0.0003,337.30405,471400,20323,52.36715061473366,30.91419,1670.1519
,,,,,261875,,,,12,13326,178,255.59224706021413,0.0011279012531054595,1283.7,1283.6738366499997,341.98,6202,398,2024,0.0003,304.67258,473800,20410,255.59224706021413,46.46874,1555.6774
,,,,,262980,,,,12,13373,179,34.89745189189471,0.5779827172124749,1254.6,1254.6236267799998,335.53,6231,400,2028,0.0003,336.39252,476000,20489,35.25007998567004,32.383682,1578.3799
