eval_ep_rewmean,eval_qs,eval_abs_qs_difference,eval_eplenmean,eval_discount_q,total timesteps,eval mean 100 episode reward,eval_time_elapsed,eval_qs_difference,n_updates,current_lr,env_time,act_time,update_time,fps,episodes,time_elapsed,ep_rewmean,qs_abs_difference,eplenmean,qs_mean,discount_q,train_time,qs_difference,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,60000,,,,70200,0.0003,87,34,892,30,60,1961,20.153363816666662,33.082012879455064,1000.0,34.133007,1.6434307900464303e-12,776,33.082012879455064,20.2,0.024653202,1.8235927
28.37559818181818,30.377464,29.530987,1000.0,20.11192383178265,60001,9.3,24,29.530984067697602,,,,,,,,,,,,,,,,,,
,,,,,64000,,,,78200,0.0003,93,37,1016,28,64,2207,21.025098687499998,20.767697193197698,1000.0,22.15776,1.7401974240549883e-12,862,20.767697193197698,21.0,0.019844802,1.9265796
,,,,,68000,,,,86200,0.0003,98,41,1149,27,68,2436,22.076731661764704,13.537906397064395,1000.0,15.8752775,2.203978257414587e-12,947,13.537906397064395,22.1,0.015364834,1.6141461
48.24743327272727,11.025135,9.046172,1000.0,28.745259663748172,70001,14.0,24,9.046172248790315,,,,,,,,,,,,,,,,,,
,,,,,72000,,,,94200,0.0003,104,44,1291,26,72,2700,23.35964151388889,11.229685094209463,1000.0,12.693512,2.291418180345964e-12,1036,11.229685094209463,23.4,0.013144143,1.360059
,,,,,76000,,,,102200,0.0003,110,47,1435,25,76,2939,24.83097081578947,6.823479536864779,1000.0,9.413595,2.3523517041782996e-12,1119,6.823479536864779,24.8,0.013328633,1.4470878
,,,,,80000,,,,110200,0.0003,116,51,1591,25,80,3194,25.984768387500004,5.403303740164354,1000.0,7.973492,2.1799721976309544e-12,1208,5.403303740164354,26.0,0.011880342,1.2646185
50.479642000000005,6.2130113,4.125583,1000.0,29.90440478705641,80001,18.1,24,4.125583353738152,,,,,,,,,,,,,,,,,,
,,,,,84000,,,,118200,0.0003,121,54,1752,24,84,3477,27.019022547619052,3.6763422864725817,1000.0,5.7667413,2.482196558675997e-12,1295,3.6763422864725817,27.0,0.015334994,1.5369304
,,,,,88000,,,,126200,0.0003,127,58,1917,23,88,3745,27.851585852272727,3.824216502856878,1000.0,5.5438776,2.3639991198547002e-12,1386,3.824216502856878,27.9,0.017311685,1.5908617
46.225885,5.498744,3.7337022,1000.0,28.864111889283837,90001,25.3,23,3.733702113886451,,,,,,,,,,,,,,,,,,
,,,,,92000,,,,134200,0.0003,133,61,2096,22,92,4047,28.662022282608696,4.015996845296391,1000.0,5.7937765,2.409130377900801e-12,1476,4.015996845296391,28.7,0.017276086,1.5691866
,,,,,96000,,,,142200,0.0003,138,64,2275,22,96,4320,29.3636055625,3.333903765347112,1000.0,5.0137463,2.3879581559728482e-12,1559,3.333903765347112,29.4,0.019518532,1.6293318
,,,,,100000,,,,150200,0.0003,144,68,2462,21,100,4608,30.130370929999998,4.905931582667269,1000.0,6.6757617,2.24883886874081e-12,1649,4.905931582667269,30.1,0.018663956,1.4213182
50.13107290909091,8.149302,5.9355145,1000.0,28.275958978304516,100001,33.6,23,5.935514297934921,,,,,,,,,,,,,,,,,,
,,,,,104000,,,,158200,0.0003,150,71,2651,21,104,4917,32.19287123,3.2013302503567562,1000.0,5.614925,2.5052533603072185e-12,1734,3.2013302503567562,32.2,0.016908556,1.2977395
